Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,MD Gunathilaka,MD Gunathilaka1,WU Tharanga,WU Tharanga2,BKG Mendis,BKG Mendis3,LD Chandimal,LD Chandimal4,TAM Siriwardana,TAM Siriwardana5,DAS Gunaratne,DAS Gunaratne6,NLTC Perera,NLTC Perera7,S Prasanna,S Prasanna8,MDK Perera,MDK Perera9,KMDN Kulasekara,KMDN Kulasekara10,RAS Lakmal,RAS Lakmal11
lost,N Dickwella,N Dickwella1,WU Tharanga,WU Tharanga2,BKG Mendis,BKG Mendis3,LD Chandimal,LD Chandimal4,CK Kapugedera,CK Kapugedera5,MDKJ Perera,MDKJ Perera6,DAS Gunaratne,DAS Gunaratne7,S Prasanna,S Prasanna8,RAS Lakmal,RAS Lakmal9,SL Malinga,SL Malinga10,N Pradeep,N Pradeep11
won,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,BKG Mendis,BKG Mendis3,MDKJ Perera,MDKJ Perera4,AD Mathews,AD Mathews5,DAS Gunaratne,DAS Gunaratne6,LD Chandimal,LD Chandimal7,NLTC Perera,NLTC Perera8,RAS Lakmal,RAS Lakmal9,SL Malinga,SL Malinga10,N Pradeep,N Pradeep11
lost,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,BKG Mendis,BKG Mendis3,LD Chandimal,LD Chandimal4,AD Mathews,AD Mathews5,DM de Silva,DM de Silva6,DAS Gunaratne,DAS Gunaratne7,NLTC Perera,NLTC Perera8,RAS Lakmal,RAS Lakmal9,SL Malinga,SL Malinga10,N Pradeep,N Pradeep11
lost,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,BKG Mendis,BKG Mendis3,WU Tharanga,WU Tharanga4,AD Mathews,AD Mathews5,DAS Gunaratne,DAS Gunaratne6,LD Madushanka,LD Madushanka7,SL Malinga,SL Malinga8,N Pradeep,N Pradeep9,MA Aponso,MA Aponso10,A Dananjaya,A Dananjaya11
won,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,BKG Mendis,BKG Mendis3,WU Tharanga,WU Tharanga4,AD Mathews,AD Mathews5,DAS Gunaratne,DAS Gunaratne6,PWH de Silva,PWH de Silva7,SL Malinga,SL Malinga8,N Pradeep,N Pradeep9,PVD Chameera,PVD Chameera10,PADLR Sandakan,PADLR Sandakan11
won,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,BKG Mendis,BKG Mendis3,WU Tharanga,WU Tharanga4,AD Mathews,AD Mathews5,DAS Gunaratne,DAS Gunaratne6,PWH de Silva,PWH de Silva7,PVD Chameera,PVD Chameera8,PADLR Sandakan,PADLR Sandakan9,SL Malinga,SL Malinga10,N Pradeep,N Pradeep11
lost,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,AD Mathews,AD Mathews3,WU Tharanga,WU Tharanga4,DAS Gunaratne,DAS Gunaratne5,BKG Mendis,BKG Mendis6,PWH de Silva,PWH de Silva7,SL Malinga,SL Malinga8,AM Fernando,AM Fernando9,PVD Chameera,PVD Chameera10,PADLR Sandakan,PADLR Sandakan11
lost,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,BKG Mendis,BKG Mendis3,WU Tharanga,WU Tharanga4,AD Mathews,AD Mathews5,DAS Gunaratne,DAS Gunaratne6,PWH de Silva,PWH de Silva7,KMDN Kulasekara,KMDN Kulasekara8,A Dananjaya,A Dananjaya9,PVD Chameera,PVD Chameera10,SL Malinga,SL Malinga11
lost,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,BKG Mendis,BKG Mendis3,WU Tharanga,WU Tharanga4,AD Mathews,AD Mathews5,CK Kapugedera,CK Kapugedera6,PWH de Silva,PWH de Silva7,NLTC Perera,NLTC Perera8,PADLR Sandakan,PADLR Sandakan9,SL Malinga,SL Malinga10,MVT Fernando,MVT Fernando11
lost,N Dickwella,N Dickwella1,MD Gunathilaka,MD Gunathilaka2,BKG Mendis,BKG Mendis3,WU Tharanga,WU Tharanga4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,CK Kapugedera,CK Kapugedera7,A Dananjaya,A Dananjaya8,PVD Chameera,PVD Chameera9,MVT Fernando,MVT Fernando10,SL Malinga,SL Malinga11
lost,N Dickwella,N Dickwella1,LD Chandimal,LD Chandimal2,BKG Mendis,BKG Mendis3,HDRL Thirimanne,HDRL Thirimanne4,AD Mathews,AD Mathews5,CK Kapugedera,CK Kapugedera6,TAM Siriwardana,TAM Siriwardana7,A Dananjaya,A Dananjaya8,PVD Chameera,PVD Chameera9,MVT Fernando,MVT Fernando10,SL Malinga,SL Malinga11
