Day_Night,Result,Home,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
D,lost,1,1,won,v Zimbabwe,N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,DAS Gunaratne,LD Madushanka,SL Malinga,N Pradeep,MA Aponso,A Dananjaya
D,won,1,2,won,v Zimbabwe,N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,DAS Gunaratne,PWH de Silva,SL Malinga,N Pradeep,PVD Chameera,PADLR Sandakan
D,won,1,2,won,v Zimbabwe,N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,DAS Gunaratne,PWH de Silva,PVD Chameera,PADLR Sandakan,SL Malinga,N Pradeep
D,lost,1,1,won,v Zimbabwe,N Dickwella,MD Gunathilaka,AD Mathews,WU Tharanga,DAS Gunaratne,BKG Mendis,PWH de Silva,SL Malinga,AM Fernando,PVD Chameera,PADLR Sandakan
D,lost,1,1,lost,v Zimbabwe,N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,DAS Gunaratne,PWH de Silva,KMDN Kulasekara,A Dananjaya,PVD Chameera,SL Malinga
DN,lost,1,1,lost,v India,N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,CK Kapugedera,PWH de Silva,NLTC Perera,PADLR Sandakan,SL Malinga,MVT Fernando
DN,lost,1,1,lost,v India,N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,TAM Siriwardana,CK Kapugedera,A Dananjaya,PVD Chameera,MVT Fernando,SL Malinga
DN,lost,1,1,won,v India,N Dickwella,LD Chandimal,BKG Mendis,HDRL Thirimanne,AD Mathews,CK Kapugedera,TAM Siriwardana,A Dananjaya,PVD Chameera,MVT Fernando,SL Malinga
DN,lost,1,2,lost,v India,N Dickwella,EMDY Munaweera,BKG Mendis,HDRL Thirimanne,AD Mathews,TAM Siriwardana,PWH de Silva,A Dananjaya,PM Pushpakumara,MVT Fernando,SL Malinga
DN,lost,1,1,won,v India,N Dickwella,WU Tharanga,EMDY Munaweera,HDRL Thirimanne,AD Mathews,TAM Siriwardana,PWH de Silva,A Dananjaya,PM Pushpakumara,MVT Fernando,SL Malinga
DN,lost,0,2,won,v Pakistan,N Dickwella,WU Tharanga,LD Chandimal,HDRL Thirimanne,BKG Mendis,TAM Siriwardana,NLTC Perera,A Dananjaya,JDF Vandersay,RAS Lakmal,PLS Gamage
DN,lost,0,2,lost,v Pakistan,N Dickwella,WU Tharanga,BKG Mendis,HDRL Thirimanne,LD Chandimal,TAM Siriwardana,NLTC Perera,A Dananjaya,JDF Vandersay,RAS Lakmal,PLS Gamage
DN,lost,0,1,won,v Pakistan,N Dickwella,WU Tharanga,LD Chandimal,CK Kapugedera,HDRL Thirimanne,TAM Siriwardana,JDF Vandersay,NLTC Perera,A Dananjaya,PVD Chameera,PLS Gamage
DN,lost,0,1,won,v Pakistan,N Dickwella,WU Tharanga,LD Chandimal,HDRL Thirimanne,S Samarawickrama,TAM Siriwardana,S Prasanna,NLTC Perera,A Dananjaya,RAS Lakmal,PLS Gamage
DN,lost,0,1,won,v Pakistan,WU Tharanga,S Samarawickrama,LD Chandimal,HDRL Thirimanne,N Dickwella,TAM Siriwardana,S Prasanna,NLTC Perera,JDF Vandersay,PVD Chameera,MVT Fernando
DN,won,0,2,won,v India,MD Gunathilaka,WU Tharanga,HDRL Thirimanne,AD Mathews,N Dickwella,DAS Gunaratne,NLTC Perera,SS Pathirana,RAS Lakmal,A Dananjaya,N Pradeep
DN,lost,0,2,won,v India,MD Gunathilaka,WU Tharanga,HDRL Thirimanne,AD Mathews,N Dickwella,DAS Gunaratne,NLTC Perera,SS Pathirana,A Dananjaya,RAS Lakmal,N Pradeep
DN,lost,0,1,lost,v India,MD Gunathilaka,WU Tharanga,S Samarawickrama,AD Mathews,N Dickwella,DAS Gunaratne,NLTC Perera,SS Pathirana,A Dananjaya,RAS Lakmal,N Pradeep
DN,lost,0,2,won,v Zimbabwe,MDKJ Perera,WU Tharanga,BKG Mendis,AD Mathews,LD Chandimal,DAS Gunaratne,NLTC Perera,PWH de Silva,A Dananjaya,RAS Lakmal,PVD Chameera
DN,lost,0,2,lost,v Bangladesh,MDKJ Perera,WU Tharanga,BKG Mendis,N Dickwella,LD Chandimal,DAS Gunaratne,NLTC Perera,PWH de Silva,A Dananjaya,RAS Lakmal,N Pradeep
DN,won,0,2,lost,v Zimbabwe,MDKJ Perera,WU Tharanga,BKG Mendis,N Dickwella,LD Chandimal,DAS Gunaratne,NLTC Perera,PADLR Sandakan,A Dananjaya,RAS Lakmal,N Pradeep
DN,won,0,2,lost,v Bangladesh,MD Gunathilaka,WU Tharanga,BKG Mendis,LD Chandimal,DAS Gunaratne,N Dickwella,NLTC Perera,RAS Lakmal,PADLR Sandakan,A Dananjaya,PVD Chameera
DN,won,0,1,won,v Bangladesh,MD Gunathilaka,WU Tharanga,BKG Mendis,N Dickwella,LD Chandimal,NLTC Perera,DAS Gunaratne,A Dananjaya,DSK Madushanka,RAS Lakmal,PVD Chameera
D,lost,1,1,won,v South Africa,N Dickwella,WU Tharanga,BKG Mendis,MDKJ Perera,AD Mathews,GSNFG Jayasuriya,NLTC Perera,A Dananjaya,RAS Lakmal,PADLR Sandakan,CBRLS Kumara
DN,lost,1,1,won,v South Africa,WU Tharanga,N Dickwella,BKG Mendis,MDKJ Perera,AD Mathews,GSNFG Jayasuriya,NLTC Perera,A Dananjaya,RAS Lakmal,NGRP Jayasuriya,CAK Rajitha
D,lost,1,2,won,v South Africa,WU Tharanga,N Dickwella,MDKJ Perera,BKG Mendis,NLTC Perera,AD Mathews,DM de Silva,A Dananjaya,RAS Lakmal,NGRP Jayasuriya,CBRLS Kumara
DN,won,1,1,lost,v South Africa,N Dickwella,WU Tharanga,BKG Mendis,MDKJ Perera,AD Mathews,DM de Silva,NLTC Perera,MD Shanaka,A Dananjaya,RAS Lakmal,CBRLS Kumara
DN,won,1,1,won,v South Africa,N Dickwella,WU Tharanga,MDKJ Perera,BKG Mendis,AD Mathews,DM de Silva,NLTC Perera,MD Shanaka,A Dananjaya,RAS Lakmal,CBRLS Kumara
DN,lost,0,2,lost,v Bangladesh,WU Tharanga,BKG Mendis,MDKJ Perera,DM de Silva,AD Mathews,MD Shanaka,NLTC Perera,MDK Perera,RAS Lakmal,MA Aponso,SL Malinga
DN,lost,0,2,lost,v Afghanistan,BKG Mendis,WU Tharanga,DM de Silva,MDKJ Perera,AD Mathews,GSNFG Jayasuriya,NLTC Perera,MD Shanaka,A Dananjaya,SL Malinga,PVD Chameera
D,lost,1,2,won,v England,N Dickwella,WU Tharanga,LD Chandimal,MDKJ Perera,MD Shanaka,DM de Silva,NLTC Perera,A Dananjaya,PADLR Sandakan,SL Malinga,N Pradeep
DN,lost,1,1,lost,v England,N Dickwella,S Samarawickrama,BKG Mendis,LD Chandimal,NLTC Perera,DM de Silva,MD Shanaka,A Dananjaya,SL Malinga,MA Aponso,N Pradeep
D,lost,1,1,lost,v England,N Dickwella,S Samarawickrama,LD Chandimal,BKG Mendis,DM de Silva,MD Shanaka,NLTC Perera,A Dananjaya,SL Malinga,MA Aponso,CAK Rajitha
DN,won,1,1,won,v England,N Dickwella,S Samarawickrama,LD Chandimal,BKG Mendis,MD Shanaka,NLTC Perera,DM de Silva,A Dananjaya,PVD Chameera,CAK Rajitha,PADLR Sandakan
DN,lost,0,2,lost,v New Zealand,N Dickwella,MD Gunathilaka,MDKJ Perera,BKG Mendis,LD Chandimal,DAS Gunaratne,NLTC Perera,S Prasanna,SL Malinga,PADLR Sandakan,N Pradeep
DN,lost,0,2,lost,v New Zealand,N Dickwella,MD Gunathilaka,MDKJ Perera,BKG Mendis,LD Chandimal,DAS Gunaratne,NLTC Perera,S Prasanna,SL Malinga,PADLR Sandakan,N Pradeep
D,lost,0,2,won,v New Zealand,N Dickwella,DM de Silva,MDKJ Perera,BKG Mendis,MD Shanaka,NLTC Perera,MD Gunathilaka,PVD Chameera,SL Malinga,PADLR Sandakan,N Pradeep
D,lost,0,1,lost,v South Africa,N Dickwella,WU Tharanga,MDKJ Perera,BOP Fernando,BKG Mendis,DM de Silva,NLTC Perera,A Dananjaya,SL Malinga,PADLR Sandakan,MVT Fernando
DN,lost,0,2,won,v South Africa,N Dickwella,WIA Fernando,MDKJ Perera,BOP Fernando,BKG Mendis,DM de Silva,NLTC Perera,A Dananjaya,CAK Rajitha,SL Malinga,MVT Fernando
D,lost,0,2,won,v South Africa,WIA Fernando,N Dickwella,BOP Fernando,BKG Mendis,NLTC Perera,PHKD Mendis,I Udana,MDKJ Perera,A Dananjaya,CAK Rajitha,SL Malinga
DN,lost,0,1,lost,v South Africa,WIA Fernando,WU Tharanga,BOP Fernando,BKG Mendis,PARP Perera,PHKD Mendis,DM de Silva,NLTC Perera,I Udana,SL Malinga,CAK Rajitha
DN,lost,0,1,won,v South Africa,WIA Fernando,WU Tharanga,BOP Fernando,BKG Mendis,AK Perera,PARP Perera,NLTC Perera,DM de Silva,I Udana,A Dananjaya,SL Malinga
D,lost,0,1,lost,v New Zealand,HDRL Thirimanne,FDM Karunaratne,MDKJ Perera,BKG Mendis,DM de Silva,AD Mathews,BMAJ Mendis,NLTC Perera,I Udana,RAS Lakmal,SL Malinga
