Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,DG Brownlie,DG Brownlie1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,JDS Neesham,JDS Neesham6,MJ Santner,MJ Santner7,C de Grandhomme,C de Grandhomme8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,DG Brownlie,DG Brownlie2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,L Ronchi,L Ronchi5,JDS Neesham,JDS Neesham6,MJ Santner,MJ Santner7,C de Grandhomme,C de Grandhomme8,TG Southee,TG Southee9,JS Patel,JS Patel10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,DG Brownlie,DG Brownlie2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,L Ronchi,L Ronchi5,JDS Neesham,JDS Neesham6,MJ Santner,MJ Santner7,C de Grandhomme,C de Grandhomme8,TG Southee,TG Southee9,JS Patel,JS Patel10,TA Boult,TA Boult11
won,L Ronchi,L Ronchi1,TWM Latham,TWM Latham2,GH Worker,GH Worker3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,JDS Neesham,JDS Neesham6,C Munro,C Munro7,SC Kuggeleijn,SC Kuggeleijn8,MJ Santner,MJ Santner9,SHA Rance,SHA Rance10,IS Sodhi,IS Sodhi11
won,TWM Latham,TWM Latham1,L Ronchi,L Ronchi2,GH Worker,GH Worker3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,JDS Neesham,JDS Neesham6,C Munro,C Munro7,MJ Santner,MJ Santner8,SHA Rance,SHA Rance9,IS Sodhi,IS Sodhi10,HK Bennett,HK Bennett11
won,L Ronchi,L Ronchi1,TWM Latham,TWM Latham2,NT Broom,NT Broom3,LRPL Taylor,LRPL Taylor4,CJ Anderson,CJ Anderson5,MJ Santner,MJ Santner6,C Munro,C Munro7,AF Milne,AF Milne8,SC Kuggeleijn,SC Kuggeleijn9,IS Sodhi,IS Sodhi10,MJ Henry,MJ Henry11
lost,TWM Latham,TWM Latham1,L Ronchi,L Ronchi2,NT Broom,NT Broom3,LRPL Taylor,LRPL Taylor4,CJ Anderson,CJ Anderson5,JDS Neesham,JDS Neesham6,MJ Santner,MJ Santner7,C Munro,C Munro8,MJ Henry,MJ Henry9,JS Patel,JS Patel10,HK Bennett,HK Bennett11
lost,MJ Guptill,MJ Guptill1,L Ronchi,L Ronchi2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,JDS Neesham,JDS Neesham6,CJ Anderson,CJ Anderson7,MJ Santner,MJ Santner8,AF Milne,AF Milne9,TG Southee,TG Southee10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,L Ronchi,L Ronchi2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,JDS Neesham,JDS Neesham6,CJ Anderson,CJ Anderson7,MJ Santner,MJ Santner8,AF Milne,AF Milne9,TG Southee,TG Southee10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,AF Milne,AF Milne9,TG Southee,TG Southee10,TA Boult,TA Boult11
