Player,Fielders_score
MW Gatting (ENG),19.884210879207924
SP O'Donnell (AUS),19.87219887920792
K Rabada (SA),19.8532356
MN Waller (ZIM),19.850282800000002
SE Marsh (AUS),19.846563000000003
RGD Willis (ENG),19.843038600000003
AF Giles (ENG),19.827326600000006
UT Yadav (INDIA),19.826684600000004
Rashid Khan (AFG),19.802764400000004
HH Pandya (INDIA),19.7909328
C Munro (NZ),19.787895600000002
DJ Willey (ENG),19.779012
RR Rossouw (SA),19.744038679207925
J Charles (WI),19.743363000000002
PA Nixon (ENG),19.683346
Afsar Zazai (AFG),19.643317079207918
BJ Watling (NZ),19.118828399999998
Mudassar Nazar (PAK),19.07514187920792
IK Pathan (INDIA),19.072316
Abdul Qadir (PAK),19.02359347920792
TM Moody (AUS),18.9972928
A Nel (SA),18.986535999999997
KAJ Roach (WI),18.9811504
Samiullah Shinwari (AFG),18.968545
JP Faulkner (AUS),18.957869000000002
OA Shah (ENG),18.957745
Imrul Kayes (BDESH),18.9499834
ND McKenzie (SA),18.933057279207922
AR Whittall (ZIM),18.93068427920792
AR White (IRE),18.927771399999997
Manzoor Elahi (PAK),18.91092127920792
D Mongia (INDIA),18.90987
Fakhar Zaman (PAK),18.8877796
AF Milne (NZ),18.87325947920792
SS Dighe (INDIA),18.793297879207923
V Dahiya (INDIA),18.783378479207922
Shoaib Akhtar (Asia/ICC/PAK),18.300964999999998
NS Sidhu (INDIA),18.2511728
M Dillon (WI),18.179847799999994
Rubel Hossain (BDESH),18.140883199999994
DR Tuffey (NZ),18.12513247920792
JE Taylor (WI),18.1222982
TT Bresnan (ENG),18.104397799999997
GB Brent (ZIM),18.078001399999994
Salman Butt (PAK),18.072522799999994
MW Goodwin (ZIM),18.062413999999997
CC Lewis (ENG),18.039136999999997
LPC Silva (SL),18.0382528
RS Morton (WI),18.035257879207922
DM de Silva (SL),17.994148399999997
DN Crookes (SA),17.977528679207918
Zulqarnain (PAK),17.811877279207923
LJ Tucker (IRE),17.59714827920792
RV Uthappa (INDIA),17.497770199999998
EJ Chatfield (NZ),17.293938279207918
DK Morrison (NZ),17.265825599999996
MC Snedden (NZ),17.241906679207922
RAS Lakmal (SL),17.2341532
I Sharma (INDIA),17.232382
Mohammad Sami (PAK),17.216049599999998
BL Cairns (NZ),17.20761747920792
Rahmat Shah (AFG),17.195651079207916
SB Joshi (INDIA),17.18612607920792
AJ Bichel (AUS),17.183206799999997
JE Emburey (ENG),17.1796266
JF Mooney (IRE),17.17175547920792
Naeem Islam (BDESH),17.16459387920792
XJ Doherty (AUS),17.160444
JM How (NZ),17.1574318
NC Johnson (ZIM),17.1556896
CK Coventry (ZIM),17.147733479207922
JG Bracewell (NZ),17.147093279207922
Nawroz Mangal (AFG),17.14176027920792
SMSM Senanayake (SL),17.141225600000002
Akram Raza (PAK),17.140635879207917
AR McBrine (IRE),17.13512927920792
SS Cottrell (WI),17.118845
CJ Jordan (ENG),17.10255
S Viswanath (INDIA),16.8942038
JP Maher (AUS),16.8619484
DL Bairstow (ENG),16.84108
SAR Silva (SL),16.786399799999998
Ashraf Ali (PAK),16.78035
