Player,Fielders_score
BP Patterson (WI),7.04824
Mansoor Akhtar (PAK),6.99334
CJ Anderson (NZ),6.96284
CWJ Athey (ENG),6.9572
SM Katich (AUS),6.946899999999999
C Sharma (INDIA),6.9453
AR Patel (INDIA),6.937200000000001
PD McGlashan (NZ),6.93384
GM Turner (NZ),6.920640000000001
SF Mire (ZIM),6.898140000000001
JA Rennie (ZIM),6.89274
Mehidy Hasan Miraz (BDESH),6.891300000000001
DR Pringle (ENG),6.8673
HK Badani (INDIA),6.82804
RDB Croft (ENG),6.816000000000001
Syed Rasel (BDESH),6.8119
UT Khawaja (AUS),6.792199999999999
IDR Bradshaw (WI),6.78234
JA Rudolph (Afr/SA),6.765899999999999
Aminul Islam (BDESH),6.76244
MP Stoinis (AUS),6.7517
Saleem Elahi (PAK),6.748139999999999
SM Patil (INDIA),6.7468
TM Head (AUS),6.745900000000001
JR Thomson (AUS),6.74184
J Mubarak (SL),6.7164
AJ Hollioake (ENG),6.70764
Tapash Baisya (BDESH),6.684899999999999
AD Mullally (ENG),6.667
Kuldeep Yadav (INDIA),6.634899999999999
SD Anurasiri (SL),6.61154
JS Patel (NZ),6.6
A Dananjaya (SL),6.585799999999999
MR Whitney (AUS),6.575600000000001
GC Small (ENG),6.564699999999999
DS Mohanty (INDIA),6.55134
SB Doull (NZ),6.5459
CR Brathwaite (WI),6.536000000000001
DE Bollinger (AUS),6.5322
R Powell (WI),6.5307
MD Gunathilaka (SL),6.516299999999999
SJ Benn (WI),6.5162
SLV Raju (INDIA),6.51094
PN Kirsten (SA),6.502840000000001
AME Roberts (WI),6.4856
AC Botha (IRE),6.48124
KM Dabengwa (ZIM),6.47134
Azhar Ali (PAK),6.4495000000000005
PK Amre (INDIA),6.4165399999999995
XM Marshall (USA/WI),6.4165399999999995
BJ Hodge (AUS),6.4006
Mosaddek Hossain (BDESH),6.389899999999999
GM Ritchie (AUS),6.38604
SR Clark (AUS),6.3855
JL Ontong (Afr/SA),6.3814400000000004
Farhad Reza (BDESH),6.3797999999999995
SB O'Connor (NZ),6.371640000000001
Javed Ahmadi (AFG),6.371640000000001
HH Kanitkar (INDIA),6.368699999999999
Tahir Naqqash (PAK),6.36084
KSC de Silva (SL),6.3338
S Sreesanth (INDIA),6.3293
Rajin Saleh (BDESH),6.3204400000000005
DW Hookes (AUS),6.311440000000001
RR Pant (INDIA),6.2778
NAM McLean (WI),6.2755399999999995
Mirwais Ashraf (AFG),6.2755399999999995
Sarfraz Nawaz (PAK),6.260399999999999
MJ Slater (AUS),6.2602400000000005
CG Rackemann (AUS),6.254199999999999
Akram Khan (BDESH),6.213799999999999
Jahurul Islam (BDESH),6.2118
S Elworthy (SA),6.20544
AC Waller (ZIM),6.2040999999999995
RIC Holder (WI),6.186499999999999
D Ganga (WI),6.1802399999999995
J Dyson (AUS),6.170340000000001
Fawad Alam (PAK),6.1132
CH Morris (SA),6.1099
NT Broom (NZ),6.08504
DA Reeve (ENG),6.0833
Yashpal Sharma (INDIA),6.0623000000000005
CA Ingram (SA),6.0595
ML Nkala (ZIM),6.0491399999999995
GF Labrooy (SL),6.02934
AR Adams (NZ),6.0291999999999994
RT Latham (NZ),6.0106
PA Wallace (WI),5.99964
LH Ferguson (NZ),5.988899999999999
Shabbir Ahmed (PAK),5.974200000000001
Shahadat Hossain (BDESH),5.972799999999999
AK Markram (SA),5.9691
M Kartik (INDIA),5.9687
BC Broad (ENG),5.9612
T Mupariwa (ZIM),5.959240000000001
BA Murphy (ZIM),5.93944
Shadab Khan (PAK),5.938
N Pradeep (SL),5.913499999999999
